"","filecoverage","totalcoverage"
"R/absDS.R",100,29.89
"R/asCharacterDS.R",100,29.89
"R/asDataMatrixDS.R",66.67,29.89
"R/asFactorDS1.R",62.5,29.89
"R/asFactorDS2.R",100,29.89
"R/asFactorSimpleDS.R",100,29.89
"R/asIntegerDS.R",100,29.89
"R/asListDS.R",81.82,29.89
"R/asLogicalDS.R",100,29.89
"R/asMatrixDS.R",66.67,29.89
"R/asNumericDS.R",83.33,29.89
"R/aucDS.R",86.67,29.89
"R/blackBoxDS.R",0,29.89
"R/blackBoxRanksDS.R",0,29.89
"R/BooleDS.R",75,29.89
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.89
"R/boxPlotGG_data_TreatmentDS.R",0,29.89
"R/boxPlotGGDS.R",0,29.89
"R/bp_standardsDS.R",88.89,29.89
"R/cbindDS.R",77.78,29.89
"R/cDS.R",100,29.89
"R/changeRefGroupDS.R",100,29.89
"R/checkNegValueDS.R",100,29.89
"R/checkPermissivePrivacyControlLevel.R",80,29.89
"R/classDS.R",100,29.89
"R/colnamesDS.R",100,29.89
"R/completeCasesDS.R",72.73,29.89
"R/corDS.R",81.82,29.89
"R/corTestDS.R",100,29.89
"R/covDS.R",59.57,29.89
"R/dataFrameDS.R",65.38,29.89
"R/dataFrameFillDS.R",93.33,29.89
"R/dataFrameSortDS.R",77.78,29.89
"R/dataFrameSubsetDS1.R",52.54,29.89
"R/dataFrameSubsetDS2.R",41.23,29.89
"R/densityGridDS.R",86.36,29.89
"R/dimDS.R",100,29.89
"R/dmtC2SDS.R",0,29.89
"R/elsplineDS.R",0,29.89
"R/extract.R",100,29.89
"R/extractQuantilesDS1.R",0,29.89
"R/extractQuantilesDS2.R",0,29.89
"R/gamlssDS.R",74.76,29.89
"R/getWGSRDS.R",79.75,29.89
"R/glmDS1.R",0,29.89
"R/glmDS2.R",0,29.89
"R/glmerSLMADS.assign.R",0,29.89
"R/glmerSLMADS2.R",0,29.89
"R/glmPredictDS.ag.R",0,29.89
"R/glmPredictDS.as.R",0,29.89
"R/glmSLMADS.assign.R",0,29.89
"R/glmSLMADS1.R",0,29.89
"R/glmSLMADS2.R",0,29.89
"R/glmSummaryDS.ag.R",0,29.89
"R/glmSummaryDS.as.R",0,29.89
"R/heatmapPlotDS.R",0,29.89
"R/hetcorDS.R",100,29.89
"R/histogramDS1.R",0,29.89
"R/histogramDS2.R",0,29.89
"R/igb_standardsDS.R",58.12,29.89
"R/isNaDS.R",100,29.89
"R/isValidDS.R",94.12,29.89
"R/kurtosisDS1.R",85,29.89
"R/kurtosisDS2.R",76.92,29.89
"R/lengthDS.R",100,29.89
"R/levelsDS.R",76.92,29.89
"R/lexisDS1.R",0,29.89
"R/lexisDS2.R",0,29.89
"R/lexisDS3.R",0,29.89
"R/listDisclosureSettingsDS.R",100,29.89
"R/listDS.R",100,29.89
"R/lmerSLMADS.assign.R",0,29.89
"R/lmerSLMADS2.R",0,29.89
"R/lsDS.R",84.62,29.89
"R/lsplineDS.R",0,29.89
"R/matrixDetDS1.R",0,29.89
"R/matrixDetDS2.R",0,29.89
"R/matrixDiagDS.R",0,29.89
"R/matrixDimnamesDS.R",0,29.89
"R/matrixDS.R",0,29.89
"R/matrixInvertDS.R",0,29.89
"R/matrixMultDS.R",0,29.89
"R/matrixTransposeDS.R",0,29.89
"R/mdPatternDS.R",100,29.89
"R/meanDS.R",100,29.89
"R/meanSdGpDS.R",0,29.89
"R/mergeDS.R",0,29.89
"R/messageDS.R",100,29.89
"R/metadataDS.R",80,29.89
"R/miceDS.R",53.33,29.89
"R/minMaxRandDS.R",85.71,29.89
"R/namesDS.R",70.59,29.89
"R/nsDS.R",0,29.89
"R/numNaDS.R",100,29.89
"R/qlsplineDS.R",0,29.89
"R/quantileMeanDS.R",87.5,29.89
"R/rangeDS.R",80,29.89
"R/ranksSecureDS1.R",0,29.89
"R/ranksSecureDS2.R",0,29.89
"R/ranksSecureDS3.R",0,29.89
"R/ranksSecureDS4.R",0,29.89
"R/ranksSecureDS5.R",0,29.89
"R/rbindDS.R",100,29.89
"R/rBinomDS.R",100,29.89
"R/recodeLevelsDS.R",83.33,29.89
"R/recodeValuesDS.R",78.08,29.89
"R/repDS.R",0,29.89
"R/replaceNaDS.R",69.23,29.89
"R/reShapeDS.R",0,29.89
"R/rmDS.R",89.47,29.89
"R/rNormDS.R",100,29.89
"R/rowColCalcDS.R",78.57,29.89
"R/rPoisDS.R",100,29.89
"R/rUnifDS.R",100,29.89
"R/sampleDS.R",65.83,29.89
"R/scatterPlotDS.R",0,29.89
"R/seqDS.R",58.82,29.89
"R/setFilterDS.R",100,29.89
"R/setSeedDS.R",100,29.89
"R/skewnessDS1.R",85,29.89
"R/skewnessDS2.R",71.43,29.89
"R/sqrtDS.R",100,29.89
"R/subsetByClassDS.R",95.65,29.89
"R/subsetByClassHelper1.R",61.9,29.89
"R/subsetByClassHelper2.R",67.74,29.89
"R/subsetByClassHelper3.R",63.33,29.89
"R/subsetDS.R",39.62,29.89
"R/table1DDS.R",0,29.89
"R/table2DDS.R",0,29.89
"R/tableDS.assign.R",0,29.89
"R/tableDS.R",0,29.89
"R/tableDS2.R",0,29.89
"R/tapplyDS.assign.R",28.37,29.89
"R/tapplyDS.R",52.08,29.89
"R/testObjExistsDS.R",100,29.89
"R/uniqueDS.R",100,29.89
"R/unListDS.R",66.67,29.89
"R/varDS.R",100,29.89
"R/vectorDS.R",100,29.89
